Text,Text-MM,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_MM_Cleaned
"Witnessing a heartwarming comeback in the hockey finals, fans share tears of joy as the team secures a historic victory after adversity. ",ဟော်ကီ ဗိုလ်လုပွဲမှာ ရင်နွေးဖွယ် ပြန်လည်ရောက်ရှိလာမှုကို တွေ့မြင်နေခြင်း၊ အသင်းက အခက်အခဲတွေပြီးနောက် သမိုင်းဝင် အောင်ပွဲတစ်ခု ရယူချိန်မှာ ပရိသတ်တွေက ပျော်ရွှင်မျက်ရည်တွေ မျှဝေခံစားခြင်း။,Positive,2020-12-12 20:00:00, HockeyFanComebackVictory , Instagram , #Heartwarming #HockeyFinalsComeback ,22.0,45.0, Canada ,2020,12,12,20.0,positive
"After a series of defeats, the soccer team faces disappointment, struggling to find the silver lining in a challenging season. ",ရှုံးပွဲဆက်တိုက် ကြုံတွေ့ပြီးနောက်၊ ဘောလုံးအသင်းက စိတ်ပျက်မှုကို ရင်ဆိုင်နေရတယ်၊ စိန်ခေါ်မှုရှိတဲ့ ရာသီတစ်ခုထဲက အကောင်းဘက်ကို ရှာဖွေဖို့ ရုန်းကန်နေရခြင်း။,Negative,2019-11-02 18:45:00, SoccerFanTeamDefeats , Twitter , #Disappointment #SoccerDefeats ,40.0,80.0, Brazil ,2019,11,2,18.0,negative
"In the tennis tournament, a highly anticipated player experiences a setback, leaving fans in shock and questioning the unforeseen turn of events. ",တင်းနစ်ပြိုင်ပွဲမှာ၊ အရမ်းမျှော်လင့်ထားတဲ့ ကစားသမားတစ်ယောက်က အဆင်မပြေမှု ကြုံတွေ့ရပြီး၊ ပရိသတ်တွေကို တုန်လှုပ်စေကာ မမျှော်လင့်ထားတဲ့ အဖြစ်အပျက်တွေရဲ့ အလှည့်အပြောင်းကို မေးခွန်းထုတ်စေခြင်း။,Negative,2018-07-10 21:15:00, TennisEnthusiastUnexpectedSetback , Instagram , #Frustration #TennisSetback ,35.0,70.0, USA ,2018,7,10,21.0,negative
"Facing a defeat in the championship, the boxer reflects on the challenges, vowing to return stronger and more determined in the next bout. ",ချန်ပီယံရှစ်မှာ ရှုံးနိမ့်မှုကို ရင်ဆိုင်နေရခြင်း၊ လက်ဝှေ့သမားက စိန်ခေါ်မှုတွေကို ပြန်လည်သုံးသပ်ပြီး၊ နောက်လာမယ့် ပွဲစဉ်မှာ ပိုမိုအားကောင်းပြီး ပိုမိုစိတ်ပိုင်းဖြတ်မှုရှိစွာ ပြန်လာဖို့ သန္နိဋ္ဌာန်ချခြင်း။,Positive,2020-09-18 19:30:00, BoxingFanChampionshipDefeat , Facebook , #Reflection #BoxingDefeat ,30.0,60.0, UK ,2020,9,18,19.0,negative
"In the midst of a cycling race, a tire blowout leads to frustration for the cyclist, who valiantly tries to overcome the unexpected obstacle. ",စက်ဘီးပြိုင်ပွဲတစ်ခုရဲ့ အလယ်မှာ၊ တာယာပေါက်ကွဲမှုက စက်ဘီးသမားအတွက် စိတ်ပျက်မှုကို ဖြစ်စေတယ်၊ သူက မမျှော်လင့်ထားတဲ့ အတားအဆီးကို ရဲရင့်စွာ ကျော်လွှားဖို့ ကြိုးစားခြင်း။,Negative,2017-05-15 22:00:00, CyclingEnthusiastTireBlowout , Twitter , #Obstacle #CyclingFrustration ,22.0,45.0, France ,2017,5,15,22.0,negative
"The gymnast's unexpected fall during a routine sparks a wave of sympathy from the audience, highlighting the vulnerability of sports. ",ကျွမ်းဘားသမားရဲ့ လေ့ကျင့်ခန်းတစ်ခုအတွင်း မမျှော်လင့်ထားတဲ့ ပြုတ်ကျမှုက ပရိသတ်တွေဆီက စာနာမှုလှိုင်းတစ်ခုကို ဖြစ်ပေါ်စေပြီး၊ အားကစားရဲ့ ထိခိုက်လွယ်မှုကို မီးမောင်းထိုးပြခြင်း။,Neutral,2021-04-05 20:15:00, GymnasticsFanRoutineFall , Instagram , #Sympathy #GymnasticsFall ,28.0,55.0, Japan ,2021,4,5,20.0,negative
"In the golf tournament, a missed crucial putt results in defeat, causing the golfer to reflect on the pressure of high-stakes competition. ",ဂေါက်သီးပြိုင်ပွဲမှာ၊ အရေးကြီးတဲ့ ပတ်ရိုက်ချက်တစ်ခု လွဲချော်မှုက ရှုံးနိမ့်မှုကို ဖြစ်စေပြီး၊ ဂေါက်သီးသမားကို အလောင်းအစားကြီးတဲ့ ပြိုင်ဆိုင်မှုရဲ့ ဖိအားအပေါ် ပြန်လည်သုံးသပ်စေခြင်း။,Negative,2016-08-20 18:30:00, GolfEnthusiastMissedPutt , Facebook , #Pressure #GolfDefeat ,18.0,35.0, USA ,2016,8,20,18.0,negative
"Experiencing a series of losses in the basketball season, the team grapples with frustration, determined to turn the tide with renewed effort. ",ဘတ်စကတ်ဘော ရာသီမှာ ရှုံးပွဲဆက်တိုက် ကြုံတွေ့နေရခြင်း၊ အသင်းက စိတ်ပျက်မှုနဲ့ ရုန်းကန်နေရတယ်၊ အသစ်ပြန်လည် ကြိုးပမ်းမှုနဲ့ အခြေအနေကို ပြောင်းလဲဖို့ စိတ်ပိုင်းဖြတ်ထားခြင်း။,Positive,2019-02-12 19:45:00, BasketballFanTeamLosses , Twitter , #RenewedEffort #BasketballStruggles ,22.0,45.0, Canada ,2019,2,12,19.0,negative
"Despite meticulous training, the swimmer faces disappointment as a split-second miscalculation costs them the lead in a crucial race. ",စေ့စပ်သေချာစွာ လေ့ကျင့်မှုရှိပေမယ့်၊ ရေကူးသမားက စက္ကန့်ပိုင်း မှားယွင်းတွက်ချက်မှုက အရေးကြီးတဲ့ ပြိုင်ပွဲတစ်ခုမှာ သူတို့ကို ဦးဆောင်မှု ဆုံးရှုံးစေတဲ့အတွက် စိတ်ပျက်မှုကို ရင်ဆိုင်နေရခြင်း။,Negative,2015-06-28 20:00:00, SwimmingEnthusiastRaceSetback , Instagram , #Miscalculation #SwimmingDisappointment ,28.0,55.0, Australia ,2015,6,28,20.0,negative
"The weightlifter's failed attempt at a personal record results in frustration, highlighting the challenging nature of pushing physical limits. ",အလေးမသမားရဲ့ ကိုယ်ပိုင်စံချိန်တင်ဖို့ မအောင်မြင်တဲ့ ကြိုးပမ်းမှုက စိတ်ပျက်မှုကို ဖြစ်စေပြီး၊ ရုပ်ပိုင်းဆိုင်ရာ ကန့်သတ်ချက်တွေကို တွန်းအားပေးခြင်းရဲ့ စိန်ခေါ်မှု သဘာဝကို မီးမောင်းထိုးပြခြင်း။,Negative,2022-01-08 21:30:00, WeightliftingFanFailedRecord , Facebook , #Challenge #WeightliftingFailure ,35.0,70.0, Germany ,2022,1,8,21.0,negative
"In the midst of a soccer match, an unexpected own goal creates a moment of despair for the player, as teammates console and encourage them. ",ဘောလုံးပွဲတစ်ခုရဲ့ အလယ်မှာ၊ မမျှော်လင့်ထားတဲ့ ကိုယ့်ဂိုးကိုယ်သွင်းမှုက ကစားသမားအတွက် စိတ်ပျက်အားငယ်မှု အခိုက်အတန့်တစ်ခုကို ဖန်တီးတယ်၊ အသင်းဖော်တွေက နှစ်သိမ့်အားပေးခြင်း။,Negative,2018-12-15 20:15:00, SoccerPlayerOwnGoalMoment , Twitter , #Despair #OwnGoal ,22.0,45.0, Spain ,2018,12,15,20.0,negative
"In the serene beauty of a sunset, nature unfolds a canvas of colors, evoking a sense of tranquility and wonder. ",နေဝင်ချိန်ရဲ့ တည်ငြိမ်အေးချမ်းတဲ့ အလှတရားထဲမှာ၊ သဘာဝတရားက အရောင်အသွေးတွေရဲ့ ပန်းချီကားချပ်တစ်ခုကို ဖွင့်လှစ်ပြသပြီး၊ တည်ငြိမ်အေးချမ်းမှုနဲ့ အံ့သြမှု ခံစားချက်ကို ဖြစ်ပေါ်စေခြင်း။,Positive,2021-07-10 19:00:00, NatureEnthusiastSunsetWonder , Instagram , #Tranquility #SunsetBeauty ,40.0,80.0, Canada ,2021,7,10,19.0,positive
"Embarking on a spontaneous road trip, the traveler discovers hidden gems, creating memories that will be cherished for a lifetime. ",အလိုအလျောက် ကားနဲ့ခရီးထွက်ခြင်းကို စတင်ခြင်း၊ ခရီးသွားက လျှို့ဝှက်ရတနာတွေကို ရှာဖွေတွေ့ရှိပြီး၊ တစ်သက်တာ တန်ဖိုးထားရမယ့် အမှတ်တရတွေကို ဖန်တီးခြင်း။,Positive,2019-09-28 20:30:00, TravelEnthusiastRoadTripDiscovery , Twitter , #Adventure #RoadTripMemories ,35.0,70.0, USA ,2019,9,28,20.0,negative
"Amidst the bustling city, a quiet café becomes a sanctuary for reflection, where a cup of coffee brings solace to the wandering mind. ",စည်ကားနေတဲ့ မြို့ကြီးရဲ့ အလယ်မှာ၊ တိတ်ဆိတ်ငြိမ်သက်တဲ့ ကဖေးဆိုင်လေးတစ်ခုက စဉ်းစားတွေးတောမှုအတွက် ခိုလှုံရာနေရာ ဖြစ်လာတယ်၊ ကော်ဖီတစ်ခွက်က လေလွင့်နေတဲ့ စိတ်ကို နှစ်သိမ့်မှု ယူဆောင်လာတဲ့နေရာ။,Positive,2022-03-15 18:45:00, UrbanExplorerCafeSolitude , Facebook , #Solace #CafeReflection ,30.0,60.0, France ,2022,3,15,18.0,positive
"Exploring the vibrant street art of a cultural neighborhood, each mural tells a story, infusing the city with creativity and expression. ",ယဉ်ကျေးမှု ရပ်ကွက်တစ်ခုက တက်ကြွတဲ့ လမ်းဘေးအနုပညာကို စူးစမ်းရှာဖွေနေခြင်း၊ နံရံဆေးရေးပန်းချီတိုင်းက ပုံပြင်တစ်ပုဒ် ပြောပြနေပြီး၊ မြို့ကို ဖန်တီးမှုနဲ့ ဖော်ပြမှုတို့နဲ့ ပြည့်နှက်စေခြင်း။,Positive,2017-11-05 21:15:00, ArtEnthusiastStreetArtExploration , Instagram , #Creativity #StreetArtVibes ,22.0,45.0, Brazil ,2017,11,5,21.0,negative
"In the world of science, a breakthrough discovery unfolds, pushing the boundaries of knowledge and opening new frontiers of exploration. ",သိပ္ပံလောကထဲမှာ၊ ထိုးဖောက်ရှာဖွေတွေ့ရှိမှုတစ်ခု ဖြစ်ပေါ်လာပြီး၊ ဗဟုသုတရဲ့ နယ်နိမိတ်တွေကို တွန်းအားပေးကာ စူးစမ်းရှာဖွေမှုရဲ့ နယ်ပယ်အသစ်တွေကို ဖွင့်လှစ်ပေးခြင်း။,Positive,2020-05-20 16:30:00, ScienceEnthusiastDiscoveryMoment , Twitter , #Breakthrough #ScientificDiscovery ,28.0,55.0, Germany ,2020,5,20,16.0,negative
"Connecting with the melody of a live orchestra, the music enthusiast experiences a symphony that resonates deep within the soul. ",တိုက်ရိုက် တီးဝိုင်းတစ်ခုရဲ့ သံစဉ်နဲ့ ချိတ်ဆက်ခြင်း၊ ဂီတ ဝါသနာရှင်က စိတ်ဝိညာဉ်အတွင်း နက်ရှိုင်းစွာ ပဲ့တင်ထပ်တဲ့ သံစုံတီးဝိုင်းတစ်ခုကို ခံစားရခြင်း။,Positive,2016-08-22 19:45:00, MusicLoverLiveOrchestraExperience , Facebook , #Harmony #OrchestraMelody ,18.0,35.0, UK ,2016,8,22,19.0,positive
"Embracing the aroma of freshly baked bread, the home chef finds joy in the art of baking, creating delicious memories for loved ones. ",လတ်လတ်ဆတ်ဆတ် ဖုတ်ထားတဲ့ ပေါင်မုန့်ရဲ့ ရနံ့ကို ပွေ့ဖက်ခြင်း၊ အိမ်တွင်းစားဖိုမှူးက မုန့်ဖုတ်အနုပညာထဲမှာ ပျော်ရွှင်မှုကို ရှာဖွေတွေ့ရှိပြီး၊ ချစ်ခင်ရသူတွေအတွက် အရသာရှိတဲ့ အမှတ်တရတွေကို ဖန်တီးခြင်း။,Positive,2023-04-10 17:15:00, HomeBakerDeliciousMemories , Instagram , #JoyInBaking #HomemadeDelights ,22.0,45.0, India ,2023,4,10,17.0,positive
"Wandering through a historical museum, the history enthusiast becomes immersed in the tales of the past, envisioning bygone eras. ",သမိုင်းဝင် ပြတိုက်တစ်ခုတစ်လျှောက် လှည့်လည်သွားလာနေခြင်း၊ သမိုင်း ဝါသနာရှင်က အတိတ်ရဲ့ ပုံပြင်တွေထဲမှာ နစ်မြုပ်သွားပြီး၊ ကုန်လွန်သွားတဲ့ ခေတ်တွေကို စိတ်ကူးပုံဖော်ခြင်း။,Neutral,2015-12-18 18:00:00, HistoryBuffMuseumExploration , Twitter , #EnvisioningHistory #MuseumTales ,28.0,55.0, Italy ,2015,12,18,18.0,negative
"In the realm of literature, a captivating novel transports the reader to distant lands, weaving a tapestry of imagination and escape. ",စာပေနယ်ပယ်ထဲမှာ၊ စွဲမက်ဖွယ် ဝတ္ထုတစ်အုပ်က စာဖတ်သူကို အဝေးက မြေနေရာတွေဆီသို့ သယ်ဆောင်သွားပြီး၊ စိတ်ကူးစိတ်သန်းနဲ့ လွတ်မြောက်မှုရဲ့ ကော်ဇောတစ်ခုကို ရက်ယှက်ခြင်း။,Positive,2021-10-08 20:30:00, BookwormCaptivatingNovelEscape , Facebook , #Imagination #LiteraryEscape ,35.0,70.0, Japan ,2021,10,8,20.0,negative
"Capturing the essence of a bustling market, the photographer freezes moments in time, each frame telling a unique and vibrant story. ",စည်ကားနေတဲ့ ဈေးတစ်ခုရဲ့ အနှစ်သာရကို ဖမ်းယူနေခြင်း၊ ဓာတ်ပုံဆရာက အခိုက်အတန့်တွေကို အချိန်ထဲမှာ အေးခဲစေပြီး၊ ဖရိမ်တိုင်းက ထူးခြားပြီး တက်ကြွတဲ့ ပုံပြင်တစ်ပုဒ် ပြောပြနေခြင်း။,Positive,2019-03-22 21:45:00, PhotographyEnthusiastMarketMoments , Instagram , #Vibrancy #MarketStories ,22.0,45.0, Australia ,2019,3,22,21.0,negative
"Underneath the city lights, the dancer expresses emotions through graceful movements, creating a mesmerizing performance under the night sky. ",မြို့ပြမီးရောင်တွေအောက်မှာ၊ အကသမားက ကျက်သရေရှိတဲ့ လှုပ်ရှားမှုတွေကနေတစ်ဆင့် စိတ်ခံစားမှုတွေကို ဖော်ပြပြီး၊ ညကောင်းကင်အောက်မှာ စွဲမက်ဖွယ် ဖျော်ဖြေမှုတစ်ခုကို ဖန်တီးနေခြင်း။,Positive,2018-06-15 22:00:00, DanceEnthusiastCityNightPerformance , Twitter , #Mesmerizing #NightDancePerformance ,40.0,80.0, USA ,2018,6,15,22.0,negative
"In the heart of a bustling market, the street food connoisseur indulges in a culinary adventure, savoring diverse flavors and aromas. ",စည်ကားနေတဲ့ ဈေးတစ်ခုရဲ့ နှလုံးသားထဲမှာ၊ လမ်းဘေးအစားအစာ ကျွမ်းကျင်သူက အစားအသောက် စွန့်စားခန်းတစ်ခုကို ခံစားပြီး၊ ကွဲပြားတဲ့ အရသာတွေနဲ့ ရနံ့တွေကို အရသာခံခြင်း။,Positive,2019-08-28 19:30:00, FoodieMarketStreetFoodExploration , Instagram , #CulinaryAdventure #StreetFoodDelights ,35.0,70.0, Thailand ,2019,8,28,19.0,negative
"As the first snowflake descends, the winter enthusiast eagerly prepares for a season of frosty delights, anticipating the magic of snow-covered landscapes. ",ပထမဆုံး နှင်းပွင့်လေး ကျဆင်းလာချိန်မှာ၊ ဆောင်းရာသီ ဝါသနာရှင်က နှင်းဖုံး ရှုခင်းတွေရဲ့ မှော်ဆန်မှုကို မျှော်လင့်ရင်း၊ နှင်းခဲ ပျော်ရွှင်မှုတွေရဲ့ ရာသီတစ်ခုအတွက် စိတ်အားထက်သန်စွာ ပြင်ဆင်နေခြင်း။,Positive,2022-12-01 17:45:00, SnowLoverWinterEnthusiast , Facebook , #WinterMagic #SnowyLandscapes ,30.0,60.0, Canada ,2022,12,1,17.0,positive
"Amidst the pages of a captivating mystery novel, the reader unravels clues and secrets, experiencing a thrilling journey of suspense and revelation. ",စွဲမက်ဖွယ် လျှို့ဝှက်ဆန်းကြယ် ဝတ္ထုတစ်အုပ်ရဲ့ စာမျက်နှာတွေကြားထဲမှာ၊ စာဖတ်သူက သဲလွန်စတွေနဲ့ လျှို့ဝှက်ချက်တွေကို ဖော်ထုတ်ပြီး၊ သည်းထိတ်ရင်ဖိုမှုနဲ့ ဖော်ထုတ်မှုရဲ့ စိတ်လှုပ်ရှားဖွယ် ခရီးစဉ်တစ်ခုကို ခံစားနေရခြင်း။,Positive,2017-04-10 21:15:00, MysteryBookwormSuspensefulRead , Twitter , #ThrillingJourney #MysteryNovel ,22.0,45.0, UK ,2017,4,10,21.0,positive
"Surrounded by the vibrant colors of a flower garden, the gardener nurtures blossoms, finding joy in the beauty of nature's ever-changing canvas. ",ပန်းဥယျာဉ်တစ်ခုက တက်ကြွတဲ့ အရောင်အသွေးတွေနဲ့ ဝန်းရံထားခြင်း၊ ဥယျာဉ်မှူးက ပန်းပွင့်တွေကို ပြုစုပျိုးထောင်ပြီး၊ သဘာဝတရားရဲ့ အမြဲတမ်း ပြောင်းလဲနေတဲ့ ပန်းချီကားချပ်ရဲ့ အလှတရားထဲမှာ ပျော်ရွှင်မှုကို ရှာဖွေတွေ့ရှိခြင်း။,Positive,2020-05-15 18:30:00, GardeningEnthusiastFlowerGarden , Instagram , #NaturesBeauty #FloralJoy ,28.0,55.0, Australia ,2020,5,15,18.0,negative
"At the astronomy observatory, the stargazer marvels at the vastness of the cosmos, contemplating the mysteries hidden within the celestial expanse. ",နက္ခတ္တဗေဒ လေ့လာရေးစခန်းမှာ၊ ကြယ်ကြည့်သူက စကြဝဠာရဲ့ ကျယ်ပြန့်မှုကို အံ့သြတကြီး ငေးမောပြီး၊ ကောင်းကင်ယံ ကျယ်ပြန့်မှုအတွင်း ဝှက်ထားတဲ့ လျှို့ဝှက်ဆန်းကြယ်မှုတွေကို စဉ်းစားတွေးတောနေခြင်း။,Positive,2016-09-22 20:00:00, AstronomyEnthusiastStargazing , Facebook , #CelestialWonder #Stargazing ,18.0,35.0, USA ,2016,9,22,20.0,positive
"Engulfed in the aroma of freshly brewed coffee, the writer finds inspiration in every sip, embarking on a journey of creativity and prose. ",လတ်လတ်ဆတ်ဆတ် ဖျော်ထားတဲ့ ကော်ဖီရဲ့ ရနံ့ထဲမှာ နစ်မြုပ်နေခြင်း၊ စာရေးဆရာက သောက်လိုက်တိုင်းမှာ စိတ်ကူးစိတ်သန်းကို ရှာဖွေတွေ့ရှိပြီး၊ ဖန်တီးမှုနဲ့ စကားပြေရဲ့ ခရီးစဉ်တစ်ခုကို စတင်ခြင်း။,Positive,2023-02-12 19:45:00, CoffeeLoverWritersRetreat , Twitter , #CreativeInspiration #CoffeeJourney ,22.0,45.0, France ,2023,2,12,19.0,negative
"In the realm of fashion, the designer unveils a collection that tells a story, blending innovation and tradition on the runway of creativity. ",ဖက်ရှင်နယ်ပယ်ထဲမှာ၊ ဒီဇိုင်နာက ပုံပြင်တစ်ပုဒ် ပြောပြတဲ့ collection တစ်ခုကို ဖော်ထုတ်ပြသပြီး၊ ဖန်တီးမှုရဲ့ ပြေးလမ်းပေါ်မှာ ဆန်းသစ်မှုနဲ့ ရိုးရာဓလေ့ကို ရောစပ်ခြင်း။,Positive,2015-11-10 21:00:00, FashionEnthusiastDesignerShowcase , Instagram , #RunwayCreativity #FashionInnovation ,28.0,55.0, Italy ,2015,11,10,21.0,negative
"As the waves crash against the shore, the surfer embraces the thrill of riding the ocean's energy, capturing the essence of freedom in each wave. ",လှိုင်းလုံးတွေက ကမ်းခြေကို ရိုက်ခတ်ချိန်မှာ၊ လှိုင်းစီးသမားက သမုဒ္ဒရာရဲ့ စွမ်းအင်ကို စီးနင်းခြင်းရဲ့ သည်းထိတ်ရင်ဖိုမှုကို ပွေ့ဖက်ပြီး၊ လှိုင်းလုံးတိုင်းမှာ လွတ်လပ်မှုရဲ့ အနှစ်သာရကို ဖမ်းယူခြင်း။,Positive,2021-07-20 18:15:00, SurfingEnthusiastWaveRider , Facebook , #OceansFreedom #SurfingThrills ,22.0,45.0, Brazil ,2021,7,20,18.0,negative
"Exploring the historical architecture of an ancient city, the traveler is transported to a bygone era, where each monument whispers tales of the past. ",ရှေးဟောင်းမြို့တစ်မြို့ရဲ့ သမိုင်းဝင် ဗိသုကာလက်ရာကို စူးစမ်းရှာဖွေနေခြင်း၊ ခရီးသွားက ကုန်လွန်သွားတဲ့ ခေတ်တစ်ခုဆီသို့ သယ်ဆောင်သွားခြင်း၊ အထိမ်းအမှတ်အဆောက်အအုံတိုင်းက အတိတ်ရဲ့ ပုံပြင်တွေကို တီးတိုးပြောပြနေတဲ့နေရာ။,Positive,2019-04-18 20:30:00, HistoryExplorerAncientCityTour , Twitter , #WhispersOfThePast #HistoricalTour ,35.0,70.0, Greece ,2019,4,18,20.0,negative
Successfully avoided eye contact with my crush in the hallway. Mission accomplished. #TeenCrush #StealthMode ,စင်္ကြံမှာ ကိုယ့် crush နဲ့ မျက်လုံးချင်းမဆုံအောင် အောင်မြင်စွာ ရှောင်လိုက်နိုင်ပြီ။ မစ်ရှင်ပြီးမြောက်။ #ဆယ်ကျော်သက်အချစ် #ကိုယ်ပျောက်မုဒ်,Positive,2023-05-20 19:45:00, CrushAvoider , Twitter , #CrushStruggles #AvoidingEyeContact ,15.0,30.0, USA,2023,5,20,19.0,neutral
Ran out of snacks during a movie marathon. Crisis level: Emergency! #MovieNightStruggles #TeenProblems ,ရုပ်ရှင်မာရသွန်ကြည့်နေတုန်း သရေစာကုန်သွားပြီ။ အကျပ်အတည်းအဆင့် - အရေးပေါ်! #ရုပ်ရှင်ညအခက်အခဲများ #ဆယ်ကျော်သက်ပြဿနာများ,Negative,2023-05-21 21:00:00, MovieBuff , Instagram , #SnackCrisis #TeenLife ,18.0,35.0, Canada,2023,5,21,21.0,negative
Spent an hour choosing the perfect filter for a selfie. The struggle for that Instagram aesthetic is real. #SelfieQueen #TeenVibes ,Selfie အတွက် အကောင်းဆုံး filter ရွေးဖို့ တစ်နာရီကုန်သွားတယ်။ အဲ့ဒီ Instagram အလှတရားအတွက် ရုန်းကန်မှုက တကယ့်ကိုအစစ်။ #Selfieဘုရင်မ #ဆယ်ကျော်သက်ခံစားချက်များ,Positive,2023-05-22 14:30:00, SelfieAddict , Facebook , #SelfieStruggle #TeenConfessions ,22.0,45.0, UK,2023,5,22,14.0,negative
Lost my headphones again. How do they vanish into thin air? #HeadphoneMystery #TeenLife ,နားကြပ်တွေ ထပ်ပျောက်သွားပြန်ပြီ။ သူတို့ ဘယ်လို လေထဲမှာ ပျောက်ကွယ်သွားတာလဲ။ #နားကြပ်လျှို့ဝှက်ဆန်းကြယ်မှု #ဆယ်ကျော်သက်ဘဝ,Negative,2023-05-23 16:45:00, AudioExplorer , Twitter , #TeenProblems #LostHeadphones ,20.0,40.0, USA,2023,5,23,16.0,positive
Decided to study for exams but ended up making memes about studying instead. Procrastination level: Expert. #ProcrastinationNation #TeenConfessions ,စာမေးပွဲအတွက် စာကျက်ဖို့ ဆုံးဖြတ်လိုက်ပေမယ့် စာကျက်တာနဲ့ပတ်သက်တဲ့ meme တွေပဲ လုပ်ဖြစ်သွားတယ်။ အချိန်ဆွဲခြင်းအဆင့် - ကျွမ်းကျင်သူ။ #အချိန်ဆွဲနိုင်ငံ #ဆယ်ကျော်သက်ဝန်ခံချက်များ,Positive,2023-05-24 13:15:00, MemeCreator , Instagram , #StudyingMemes #TeenLife ,25.0,50.0, Canada,2023,5,24,13.0,negative
"Got dressed for the day, then remembered it's Saturday. Oops. #WeekendVibes #TeenStruggles ",နေ့အတွက် အဝတ်အစားဝတ်ပြီးမှ စနေနေ့ဆိုတာ သတိရသွားတယ်။ အိုး။ #စနေတနင်္ဂနွေခံစားချက်များ #ဆယ်ကျော်သက်ရုန်းကန်မှုများ,Negative,2023-05-25 19:00:00, FashionBlunder , Facebook , #WeekendOops #TeenFashion ,20.0,40.0, USA,2023,5,25,19.0,positive
Survived a group project without any drama. Miracles do happen. #GroupProjectSuccess #TeenAchievements ,Group project တစ်ခုကို ဒရာမာမရှိဘဲ ရှင်သန်ကျော်လွှားနိုင်ခဲ့တယ်။ အံ့ဖွယ်အမှုတွေ တကယ်ဖြစ်တာပဲ။ #အဖွဲ့လိုက်ပရောဂျက်အောင်မြင်မှု #ဆယ်ကျော်သက်အောင်မြင်မှုများ,Positive,2023-05-26 14:20:00, GroupGenius , Twitter , #TeenSuccess #ProjectMiracle ,28.0,55.0, UK,2023,5,26,14.0,positive
"Entered the kitchen with the intention to cook. Left with a bag of chips. Cooking is overrated, anyway. #MasterChefInTraining #TeenHumor ",ချက်ပြုတ်ဖို့ ရည်ရွယ်ချက်နဲ့ မီးဖိုချောင်ထဲဝင်သွားတယ်။ အာလူးကြော်တစ်ထုပ်နဲ့ ထွက်လာတယ်။ ချက်ပြုတ်တာက ဘာပဲဖြစ်ဖြစ် အပိုပဲ။ #လေ့ကျင့်ဆဲမာစတာစားဖိုမှူး #ဆယ်ကျော်သက်ဟာသ,Negative,2023-05-27 21:15:00, ChipExplorer , Instagram , #TeenChef #CookingFail ,22.0,45.0, Canada,2023,5,27,21.0,negative
"Staring at the clock in class, waiting for the bell to ring like it's the most exciting event of the day. #ClassCountdown #TeenLife ",စာသင်ခန်းထဲမှာ နာရီကို စိုက်ကြည့်ရင်း၊ ခေါင်းလောင်းတီးဖို့ စောင့်နေတာက တစ်နေ့တာရဲ့ စိတ်လှုပ်ရှားစရာအကောင်းဆုံး အဖြစ်အပျက်လိုပဲ။ #အတန်းချိန်ရေတွက်မှု #ဆယ်ကျော်သက်ဘဝ,Positive,2023-05-28 12:00:00, ExcitementSeeker , Facebook , #ClassEvent #TeenExcitement ,18.0,35.0, USA,2023,5,28,12.0,negative
"Discovered a new book series and spent the whole night reading. Who needs sleep, anyway? #BookwormLife #LateNightReading ",စာအုပ်စီးရီးအသစ်တစ်ခု ရှာဖွေတွေ့ရှိပြီး တစ်ညလုံး စာဖတ်နေခဲ့တယ်။ ဘယ်သူက အိပ်ချိန်လိုလို့လဲ။ #စာအုပ်ပိုးဘဝ #ညဉ့်နက်စာဖတ်ခြင်း,Positive,2023-05-29 23:30:00, NightReader , Twitter , #BookDiscoveries #TeenReading ,30.0,60.0, UK,2023,5,29,23.0,negative
"Bought a new video game, played for hours, forgot to eat. The ultimate gaming session. #GamerLife #NoFoodGaming ",ဗီဒီယိုဂိမ်းအသစ်ဝယ်၊ နာရီပေါင်းများစွာ ကစား၊ စားဖို့မေ့သွားတယ်။ အဆုံးစွန် ဂိမ်းကစားချိန်။ #ဂိမ်းသမားဘဝ #အစားအစာမပါဂိမ်းကစားခြင်း,Positive,2023-05-30 20:45:00, GamingEnthusiast , Instagram , #GameOn #TeenGamer ,22.0,45.0, USA,2023,5,30,20.0,negative
Spent the day binge-watching a new series. Productivity level: Zero. #LazyDay #TVSeriesMarathon ,စီးရီးအသစ်တစ်ခုကို တစ်နေ့လုံး ဆက်တိုက်ကြည့်ရှုခဲ့တယ်။ ကုန်ထုတ်စွမ်းအားအဆင့် - သုည။ #ပျင်းရိတဲ့နေ့ #တီဗီစီးရီးမာရသွန်,Positive,2023-05-31 15:30:00, LazyWatcher , Facebook , #BingeWatchDay #TeenLife ,35.0,70.0, Canada,2023,5,31,15.0,neutral
Caught up on the latest fashion trends and now planning a shopping spree. #Fashionista #TrendyTeen ,နောက်ဆုံးပေါ် ဖက်ရှင်ခေတ်ရေစီးကြောင်းတွေကို လိုက်မီပြီး အခု ဈေးဝယ်ထွက်ဖို့ စီစဉ်နေပါတယ်။ #ဖက်ရှင်ကျသူ #ခေတ်မှီဆယ်ကျော်သက်,Positive,2023-06-01 18:00:00, TrendExplorer , Twitter , #FashionGoals #TeenStyle ,20.0,40.0, USA,2023,6,1,18.0,negative
